iter	Passed	Remaining
433	1521	1984
434	1524	1980
435	1528	1976
436	1531	1972
437	1534	1968
438	1537	1964
439	1540	1960
440	1543	1956
441	1547	1953
442	1552	1951
443	1558	1951
444	1562	1948
445	1565	1944
446	1568	1940
447	1572	1937
448	1575	1932
449	1579	1929
450	1583	1928
451	1587	1924
452	1591	1921
453	1594	1917
454	1598	1914
455	1601	1910
456	1604	1907
457	1608	1903
458	1613	1901
459	1616	1897
460	1619	1893
461	1622	1889
462	1625	1885
463	1628	1881
464	1632	1877
465	1635	1873
466	1639	1870
467	1642	1867
468	1646	1864
469	1649	1860
470	1653	1856
471	1656	1853
472	1659	1849
473	1663	1846
474	1667	1842
475	1672	1840
476	1675	1837
477	1679	1833
478	1682	1829
479	1685	1826
480	1689	1823
481	1692	1819
482	1696	1815
483	1699	1812
484	1703	1808
485	1706	1804
486	1709	1800
487	1712	1796
488	1715	1792
489	1718	1788
490	1722	1785
491	1725	1781
492	1729	1778
493	1733	1775
494	1739	1774
495	1742	1770
496	1745	1766
497	1749	1763
498	1753	1760
499	1756	1756
500	1760	1753
501	1763	1749
502	1766	1745
503	1769	1741
504	1772	1737
505	1776	1734
506	1781	1732
507	1785	1728
508	1788	1725
509	1791	1721
510	1794	1717
511	1798	1713
512	1801	1709
513	1804	1705
514	1808	1702
515	1811	1699
516	1814	1695
517	1818	1691
518	1821	1687
519	1824	1684
520	1828	1680
521	1831	1677
522	1835	1674
523	1839	1670
524	1843	1667
525	1846	1664
526	1849	1660
527	1852	1656
528	1856	1652
529	1859	1649
530	1862	1645
531	1867	1643
532	1871	1639
533	1874	1635
534	1877	1632
535	1881	1628
536	1884	1624
537	1887	1620
538	1891	1617
539	1894	1614
540	1897	1610
541	1901	1606
542	1904	1602
543	1909	1600
544	1912	1596
545	1915	1592
546	1919	1589
547	1923	1586
548	1926	1582
549	1929	1578
550	1934	1576
551	1937	1572
552	1941	1568
553	1944	1565
554	1949	1562
555	1955	1561
556	1958	1557
557	1962	1554
558	1965	1550
559	1968	1546
560	1971	1542
561	1978	1541
562	1981	1538
563	1984	1534
564	1988	1530
565	1991	1526
566	1994	1523
567	1997	1519
568	2002	1517
569	2006	1513
570	2009	1510
571	2013	1506
572	2016	1502
573	2019	1498
574	2022	1494
575	2025	1490
576	2028	1486
577	2031	1483
578	2037	1481
579	2040	1477
580	2044	1474
581	2046	1470
582	2050	1466
583	2053	1462
584	2056	1459
585	2061	1456
586	2064	1452
587	2068	1449
588	2071	1445
589	2074	1441
590	2077	1437
591	2080	1433
592	2084	1430
593	2088	1427
594	2092	1424
595	2095	1420
596	2098	1416
597	2101	1413
598	2105	1409
599	2108	1405
600	2111	1401
601	2116	1399
602	2121	1396
603	2125	1393
604	2128	1389
605	2132	1386
606	2135	1382
607	2138	1378
608	2142	1375
609	2147	1372
610	2150	1369
611	2153	1365
612	2156	1361
613	2159	1357
614	2163	1354
615	2166	1350
616	2171	1348
617	2175	1344
618	2178	1341
619	2181	1337
620	2185	1333
621	2188	1329
622	2191	1325
623	2194	1322
624	2199	1319
625	2202	1316
626	2206	1312
627	2209	1308
628	2212	1305
629	2216	1301
630	2219	1297
631	2223	1294
632	2226	1290
633	2229	1287
634	2233	1283
635	2236	1279
636	2239	1276
637	2242	1272
638	2245	1268
639	2249	1265
640	2252	1261
641	2256	1258
642	2259	1254
643	2262	1250
644	2265	1247
645	2268	1243
646	2271	1239
647	2275	1235
648	2278	1232
649	2281	1228
650	2284	1224
651	2290	1222
652	2293	1218
653	2297	1215
654	2300	1211
655	2303	1207
656	2307	1204
657	2310	1201
658	2313	1197
659	2316	1193
660	2323	1191
661	2328	1188
662	2331	1185
663	2334	1181
664	2338	1177
665	2341	1174
666	2344	1170
667	2347	1166
668	2352	1163
669	2355	1160
670	2358	1156
671	2361	1152
672	2365	1149
673	2368	1145
674	2371	1141
675	2374	1138
676	2377	1134
677	2381	1130
678	2384	1127
679	2387	1123
680	2391	1120
681	2394	1116
682	2397	1112
683	2400	1109
684	2403	1105
685	2409	1102
686	2414	1100
687	2418	1096
688	2421	1092
689	2424	1089
690	2427	1085
691	2430	1081
692	2435	1079
693	2439	1075
694	2442	1071
695	2445	1068
696	2449	1064
697	2452	1060
698	2455	1057
699	2458	1053
700	2464	1051
701	2469	1048
702	2473	1044
703	2476	1041
704	2479	1037
705	2482	1033
706	2486	1030
707	2489	1026
708	2493	1023
709	2496	1019
710	2499	1016
711	2503	1012
712	2506	1008
713	2509	1005
714	2512	1001
715	2515	997
716	2519	994
717	2522	990
718	2526	987
719	2529	983
720	2532	980
721	2535	976
722	2538	972
723	2542	969
724	2545	965
