iter	MultiClass
0	1.184429159
1	0.9424507301
2	0.7756307315
3	0.6510287036
4	0.5536479958
5	0.4754032503
6	0.411192935
7	0.3578480369
8	0.3128669239
9	0.2747018449
10	0.242010007
11	0.2139529921
12	0.1896546155
13	0.1685102554
14	0.1502160145
15	0.1341272606
16	0.1200896425
17	0.1077161737
18	0.09692111088
19	0.08737694016
20	0.07894803621
21	0.07149656099
22	0.0649619229
23	0.05917007931
24	0.05407006419
25	0.04955566704
26	0.04554660392
27	0.04196492434
28	0.03879312654
29	0.03603603879
30	0.03353714066
31	0.03132281185
32	0.02938439051
33	0.02763634053
34	0.02609647346
35	0.02472323429
36	0.02350869526
37	0.02241533578
38	0.02145111052
39	0.02060747437
40	0.01985523098
41	0.01917943718
42	0.01858214587
43	0.0180459666
44	0.0175622299
45	0.01714526687
46	0.01681903337
47	0.01646162511
48	0.01615569013
49	0.0158791763
50	0.01563488081
51	0.01551411672
52	0.0153056729
53	0.01511697279
54	0.01497882936
55	0.0148295067
56	0.01468869341
57	0.01458098717
58	0.01449439332
59	0.0143831541
60	0.01430860021
61	0.01422994594
62	0.01415610393
63	0.01407977293
64	0.01402253927
65	0.01396670801
66	0.01390747383
67	0.01388251215
68	0.01383393668
69	0.0137873766
70	0.01376048915
71	0.01371591829
72	0.01368096759
73	0.01364021764
74	0.01362032901
75	0.0135944822
76	0.0135631178
77	0.01353749757
78	0.01351009497
79	0.01348852946
80	0.01346781787
81	0.01344289332
82	0.01342618813
83	0.01341315171
84	0.01339724915
85	0.01338307978
86	0.013368954
87	0.01335232135
88	0.01333972914
89	0.01332930068
90	0.01332038813
91	0.01330849818
92	0.01329648974
93	0.01328628046
94	0.0132761401
95	0.01326398444
96	0.01325807425
97	0.01324950656
98	0.01324210395
99	0.01323441115
100	0.01322780527
101	0.01322368266
102	0.01321748276
103	0.01321373428
104	0.01320886948
105	0.01320098976
106	0.01319507146
107	0.01318944318
108	0.01318383583
109	0.01317856548
110	0.01317569919
111	0.01317209145
112	0.01316939013
113	0.01316369575
114	0.01316075347
115	0.01315579233
116	0.0131509267
117	0.0131477335
118	0.01314389424
119	0.01313980181
120	0.01313522484
121	0.01313060396
122	0.0131269396
123	0.01312215291
124	0.01311819492
125	0.01311447016
126	0.01311134895
127	0.01310844597
128	0.01310553975
129	0.01310296292
130	0.01310080152
131	0.0130978293
132	0.01309509956
133	0.0130925581
134	0.01308957647
135	0.01308738266
136	0.01308506209
137	0.01308240928
138	0.01308099273
139	0.01307886331
140	0.01307675799
141	0.01307434514
142	0.01307251965
143	0.01307015436
144	0.01306822689
145	0.01306637959
146	0.01306419241
147	0.01306234877
148	0.01306066253
149	0.01305894796
150	0.01305696107
151	0.01305533058
152	0.01305379819
153	0.01305194367
154	0.0130504916
155	0.01304876862
156	0.01304704389
157	0.01304536409
158	0.01304450995
159	0.0130428924
160	0.01304131538
161	0.01304003925
162	0.01303853117
163	0.01303705922
164	0.01303590376
165	0.01303477376
166	0.01303356743
167	0.01303246364
168	0.01303112038
169	0.01303045052
170	0.01302915107
171	0.01302803192
172	0.01302660462
173	0.01302542959
174	0.01302423324
175	0.01302306185
176	0.01302191578
177	0.01302092613
178	0.01301981877
179	0.01301854175
180	0.01301747973
181	0.01301646824
182	0.01301562456
183	0.01301464984
184	0.01301374387
185	0.01301287009
186	0.01301164568
187	0.01301102832
188	0.01301009268
189	0.01300935076
190	0.01300843925
191	0.01300754833
192	0.01300640501
193	0.01300569679
194	0.01300481862
195	0.01300398691
196	0.01300325165
197	0.01300252785
198	0.01300173208
199	0.01300094952
200	0.01300034321
201	0.01299971223
202	0.01299896104
203	0.01299822186
204	0.01299748615
205	0.01299673838
206	0.01299603262
207	0.01299546555
208	0.0129947788
209	0.01299403718
210	0.0129933618
